City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Leningradskiy,65,RU,1555723064,88,69.38,178.42,7.11,4.21
Antofagasta,90,CL,1555718400,63,-23.65,-70.4,64.4,12.75
Princeville,1,US,1555723006,58,22.22,-159.49,82.4,13.87
Havre-Saint-Pierre,90,CA,1555722900,93,50.23,-63.6,32.0,9.17
Teya,20,MX,1555722906,41,21.05,-89.07,78.8,17.22
Parnaiba,100,BR,1555723072,93,-2.9,-41.78,76.9,2.33
Yenagoa,94,NG,1555723074,94,4.92,6.26,77.49,3.91
Leh,0,IN,1555723078,30,34.16,77.58,14.42,3.83
Beringovskiy,3,RU,1555723079,82,63.05,179.32,23.28,15.1
Bilma,0,NE,1555723080,11,18.69,12.92,77.26,6.78
Nisia Floresta,40,BR,1555722000,88,-6.09,-35.21,82.4,8.05
Halifax,90,CA,1555722915,100,44.65,-63.58,50.0,16.11
Akdepe,75,TM,1555720200,69,42.05,59.39,42.8,11.41
Vangaindrano,100,MG,1555723085,95,-23.35,47.6,70.78,7.05
Finschhafen,39,PG,1555723086,56,-6.6,147.85,78.54,3.8
Mykhaylivka,0,UA,1555718400,55,47.27,35.22,39.2,6.71
Codrington,75,AU,1555722884,78,-28.95,153.24,77.0,2.24
Chazuta,40,PE,1555718400,290,-6.57,-76.13,62.6,3.36
Touros,40,BR,1555722000,88,-5.2,-35.46,82.4,8.05
Kotaparh,30,IN,1555723092,66,19.15,82.35,75.3,4.16
Kautokeino,99,NO,1555723093,94,69.01,23.04,36.54,9.15
Thinadhoo,100,MV,1555723094,74,0.53,72.93,84.96,18.34
Portland,90,US,1555722993,93,45.52,-122.67,57.0,6.93
Susanville,1,US,1555722595,21,40.42,-120.65,71.6,12.75
Osoyoos,75,CA,1555723030,52,49.03,-119.47,66.2,6.93
Linkoping,99,SE,1555719600,56,58.41,15.62,42.8,1.9
Capitao Poco,100,BR,1555723100,97,-1.75,-47.06,75.35,3.2
Lavrentiya,0,RU,1555723101,82,65.58,-170.99,4.25,6.46
Sabzevar,1,IR,1555723102,63,36.21,57.68,55.41,5.32
Shumskiy,0,RU,1555723103,44,54.83,99.13,26.05,3.74
Cabedelo,20,BR,1555718400,88,-6.97,-34.84,80.6,3.36
Faya,0,SA,1555718400,82,18.39,42.45,64.4,2.44
Sao Lourenco da Mata,40,BR,1555722000,83,-8.0,-35.02,82.4,5.82
Dolakovo,100,RU,1555723108,89,43.24,44.59,35.08,7.65
Suvorovo,40,BG,1555722000,81,43.33,27.59,42.8,11.41
Diamantino,37,BR,1555723112,76,-14.4,-56.44,77.58,3.58
Lahat,100,ID,1555723113,86,-3.78,103.55,71.79,2.77
Ratodero,0,PK,1555723114,26,27.8,68.29,81.87,3.65
Saldanha,81,PT,1555723115,62,41.42,-6.55,54.9,14.36
Bilibino,80,RU,1555723116,94,68.06,166.44,2.65,6.71
Pamanukan,99,ID,1555723117,77,-6.28,107.82,78.48,3.71
Mega,92,ET,1555723119,75,4.06,38.32,72.61,8.28
Yokadouma,100,CM,1555723120,97,3.52,15.05,71.08,1.32
Acajutla,61,SV,1555723121,73,13.59,-89.83,84.98,9.46
Tignere,94,CM,1555723122,58,7.37,12.65,75.6,4.88
Quatre Cocos,40,MU,1555722841,83,-20.21,57.76,78.8,12.75
Port Hardy,20,CA,1555718400,61,50.7,-127.42,50.0,17.22
Dakar,2,SN,1555722000,77,14.69,-17.45,68.0,19.46
Gilroy,90,US,1555723125,93,37.01,-121.56,73.99,8.05
Kant,40,KG,1555720200,87,42.89,74.85,55.4,8.95
Jalu,0,LY,1555723129,31,29.03,21.55,67.14,13.24
Walvis Bay,32,NA,1555722131,92,-22.95,14.51,55.99,5.01
Jieshou,0,CN,1555723132,66,33.26,115.35,57.64,7.56
Inca,0,EC,1555718400,74,-2.0,-80.62,80.6,9.17
Esso,96,RU,1555723134,93,55.93,158.7,31.47,1.48
Mwene-Ditu,78,CD,1555723135,72,-7.01,23.45,71.62,2.21
Saint-Joseph,0,FR,1555723086,71,43.56,6.97,62.01,4.7
Byron Bay,75,AU,1555723002,78,-28.65,153.62,77.0,2.24
Moose Factory,90,CA,1555722000,52,51.26,-80.61,42.8,4.7
Puerto Carreno,40,CO,1555718400,70,6.19,-67.49,86.0,3.49
Tazovskiy,99,RU,1555723141,92,67.47,78.7,3.84,8.19
Los Llanos de Aridane,40,ES,1555723122,77,28.66,-17.92,64.4,16.11
Henties Bay,0,NA,1555722131,92,-22.12,14.28,55.99,5.01
San Nicolas,68,HN,1555723145,92,14.94,-88.33,70.11,3.27
Charters Towers,0,AU,1555723146,51,-20.07,146.27,76.72,13.85
Kaseda,20,JP,1555722188,72,31.42,130.32,64.4,3.36
Broken Hill,23,AU,1555718400,27,-31.97,141.45,78.8,18.34
Meadow Lake,40,CA,1555718400,22,54.13,-108.44,59.0,19.46
Talara,53,PE,1555722857,86,-4.58,-81.27,73.08,21.07
Rossano,5,IT,1555723092,96,39.57,16.63,48.99,1.01
Kodinsk,1,RU,1555723153,86,58.6,99.18,19.41,8.75
Ashcroft,40,AU,1555723150,78,-33.91,150.9,77.0,5.82
Xai-Xai,0,MZ,1555723155,88,-25.04,33.64,69.07,4.92
Erenhot,100,CN,1555723156,33,43.65,111.97,42.82,18.97
Oktyabrskoye,0,RU,1555722907,79,56.73,85.44,30.99,6.71
Vanavara,100,RU,1555723159,77,60.35,102.28,15.64,13.69
Turka,0,UA,1555722970,72,49.16,23.03,35.01,2.66
Bull Savanna,0,JM,1555723162,71,17.89,-77.59,80.68,15.46
Inhambane,0,MZ,1555723163,93,-23.87,35.38,67.68,3.65
Nata,75,CY,1555722993,76,34.78,32.57,55.4,5.82
Port Hedland,54,AU,1555720200,32,-20.31,118.58,84.2,16.11
Zaragoza,0,ES,1555723006,81,41.65,-0.88,55.0,5.82
Lagos,20,NG,1555718400,88,6.46,3.39,82.4,8.59
Xacmaz,100,AZ,1555723169,99,41.46,48.81,33.61,3.18
Te Anau,99,NZ,1555723170,95,-45.41,167.72,44.28,4.29
Poplar Bluff,40,US,1555722958,71,36.76,-90.39,52.0,9.17
Banda Aceh,87,ID,1555723172,69,5.56,95.32,84.84,6.02
Santa Teresa,59,VE,1555722922,77,10.26,-66.69,71.01,4.0
Ntungamo,91,UG,1555723175,73,-0.87,30.27,58.65,2.62
Pimentel,100,BR,1555723176,97,-3.7,-45.5,75.04,2.35
Mizdah,55,LY,1555723177,55,31.45,12.98,60.75,22.37
Hambantota,20,LK,1555719000,100,6.12,81.12,77.0,1.12
Gazojak,94,TM,1555723180,48,41.19,61.4,46.62,12.46
Kushiro,20,JP,1555718400,52,43.11,144.15,44.6,9.17
Bafq,1,IR,1555723182,37,31.6,55.4,62.43,9.66
Santiago,0,CL,1555723077,82,-33.44,-70.65,55.4,10.29
Sao Miguel do Tapuio,100,BR,1555723185,96,-5.5,-41.32,73.42,4.09
Nalut,75,LY,1555723186,23,31.86,10.98,75.26,31.21
Kloulklubed,75,PW,1555721400,74,7.04,134.26,84.2,12.75
Kununurra,7,AU,1555720200,52,-15.77,128.74,87.8,3.36
Farafenni,0,GM,1555723190,22,13.57,-15.6,87.88,13.15
Kamenka,0,RU,1555722325,40,53.19,44.05,37.99,3.62
Tocopilla,98,CL,1555723192,93,-22.09,-70.2,63.78,15.21
Huangmei,0,CN,1555723193,75,30.1,115.95,70.09,6.85
Uyuni,48,BO,1555723194,28,-20.46,-66.82,56.85,2.37
Ughelli,98,NG,1555723196,92,5.49,6.0,78.52,3.13
Aras,99,YE,1555723197,74,14.28,44.38,67.52,2.57
Kiunga,92,PG,1555723198,73,-6.12,141.3,83.49,2.35
Atasu,72,KZ,1555723199,97,48.68,71.64,33.37,6.98
Egvekinot,83,RU,1555723200,81,66.32,-179.17,9.42,7.81
Grindavik,75,IS,1555722000,93,63.84,-22.43,44.01,23.04
Mapastepec,25,MX,1555723203,35,15.44,-92.9,91.84,11.39
Linqing,100,CN,1555723204,37,36.85,115.71,56.65,3.74
Baoying,87,CN,1555722974,99,33.24,119.31,71.01,1.99
Bam,36,IR,1555722973,27,29.11,58.36,60.12,10.2
Rantepao,48,ID,1555723207,87,-2.97,119.9,68.33,0.69
Culebra,1,US,1555723088,15,34.68,-105.77,72.0,10.29
Rio Verde de Mato Grosso,42,BR,1555722972,72,-18.92,-54.84,77.85,4.52
Bonavista,100,CA,1555723004,86,48.65,-53.11,35.01,1.99
Richards Bay,0,ZA,1555723212,78,-28.77,32.06,76.61,29.08
Orbe,75,CH,1555723193,81,46.72,6.53,51.8,3.0
Kang,50,BW,1555723215,32,-23.67,22.79,71.26,9.78
Seymchan,100,RU,1555723216,97,62.93,152.39,30.93,5.97
Nkayi,100,CG,1555723217,94,-4.18,13.29,77.15,2.42
Palembang,40,ID,1555720200,94,-2.99,104.76,77.0,9.17
Umkomaas,0,ZA,1555723105,87,-30.21,30.8,71.01,1.99
Sur,0,OM,1555723220,25,22.57,59.53,83.4,7.63
Rabo de Peixe,40,PT,1555720200,88,37.8,-25.58,62.6,3.36
Kuusamo,0,FI,1555719600,92,65.96,29.19,23.0,1.12
Novyy Urengoy,100,RU,1555723224,95,66.08,76.63,12.55,11.41
Port Moresby,75,PG,1555722000,62,-9.47,147.16,86.0,11.41
Morondava,0,MG,1555723226,75,-20.3,44.28,82.95,8.12
